Letter_ID,Location_Name,Site_Name,Coordinates,
1890.10.23.a,Felbrigg,," 52.9105312, 1.2733296",
1890.10.23.b,Scottow,,"52.7622815, 1.3765112",
1890.10.23.b,Swanton Abbot,,"52.7798467, 1.3564659",
1891.01.03.e,Brisley,,"52.7559129, 0.8873673",
1891.01.03.g,Ingham,,"52.7798853, 1.5416054",
1891.05.21.a,Wiveton,,"52.9461714, 1.0385579",
1891.05.21.b,Carlton,,"52.6090778, 1.0888198",Carlton Forehoe?
1891.05.21.b,Brisley,,"52.7559129, 0.8873673",
1891.05.21.d,Blo' Norton,,"52.3750179, 0.9578704",
1891.05.21.e,Ingham,,"52.7798853, 1.5416054",
1891.06.01.e,Hunstanton,,"52.9393841, 0.4901743",
1891.07.04.c,Ingham,,"52.7798853, 1.5416054",
1891.07.04.e,Great Fransham,," 52.6856142, 0.8029389",
1891.09.24.d,Suffield,,"52.8458607, 1.3126036",
1891.09.24.d,North Repps,,"52.9044753, 1.3371080",
1891.09.24.d,South Repps,,"52.6977829, 1.5746994",
1891.09.24.d,Gunton,,"52.8660750, 1.3493462",
1891.09.24.d,Hanworth,,"52.8718245, 1.2629584",
1891.09.24.d,Thurgarton,," 52.8662675, 1.2414571",
1891.09.24.d,Sustead,," 52.8863369, 1.2489388",
1891.09.24.d,Metton,," 52.8887375, 1.2684619",
1891.09.24.d,Beeston,,"52.7082005, 0.8264523",
1891.09.24.d,Sheringham,,"52.9438831, 1.2126200",
1891.09.24.e,Beeston,,"52.7082005, 0.8264523",
1891.09.24.e,Norwich,St Michael-at-Plea,"52.6286060, 1.2922700",
1891.09.24.e,Norwich,St Helen's,"52.6286060, 1.2922700",
1891.09.24.e,Coltishall,,"52.7283526, 1.3594723",
1891.09.24.e,Horstead,,"52.7265691, 1.3510019",
1891.09.24.e,Frettenham,," 52.7085962, 1.3247301",
1891.09.24.e,Spixworth,,"52.6871966, 1.3231950",
1891.09.24.e,Catton,,"52.6627051, 1.2969516",
1891.09.24.f,Norwich,Castle Museum,"52.6286060, 1.2922700",
1891.09.24.f,Norwich,St Edmund,"52.6286060, 1.2922700",
1891.09.24.f,Norwich,St James,"52.6286060, 1.2922700",
1891.09.24.f,Norwich,St Paul,"52.6286060, 1.2922700",
1892.05.04.e,Ditchingham,,"52.4704905, 1.4404243",
1892.05.04.e,Norwich,St John Maddermarket,"52.6286060, 1.2922700",
1892.05.04.e,Salle,,"52.7804034, 1.1248665",
1892.05.04.e,Blickling,,"52.8099215, 1.2259634",
1893.08.23.n,Bacton,,"52.8508198, 1.4792065",
1893.08.30.b,Hickling,," 52.7528099, 1.5697792",
